name,K,width,eps0,lr_type,maxpool_kernel,power,activate,test_acc,seed,attack,certainty,samples,cutoff,pad,crit_eps,std_err_eps,MSE,R2,M,D,Q,B,nu
BP_K10_w04_MX07_gelu01,10,4,0.001,cosine,7,1.0,gelu,0.6924,546643757,fgsm,0.8,3395,0.0,0.1,0.0099146743130822,8.012069691246503e-06,9.033846913405264e-05,0.9991864543906184,-0.2745162741736909,0.1304587630014493,1.3019850045344037,30.0067772003538,3.521883156924421e-05
BP_K10_w04_MX07_gelu02,10,4,0.001,cosine,7,2.0,gelu,0.6539,9434423,fgsm,0.8,3077,0.0,0.1,0.0099754914747632,5.6783611453230335e-06,3.747926811961491e-05,0.9996624121698718,-0.2759719109146047,0.1383355452866291,1.2157752039599086,30.00381109373344,3.541316170202523e-05
BP_K10_w04_MX07_gelu04,10,4,0.001,cosine,7,4.0,gelu,0.5901,167748140,fgsm,0.8,2610,0.0,0.1,0.006560797094583,4.981496281830291e-06,0.0001059443744959,0.9990453566973734,-0.2743356374715655,0.1195306719850203,1.369619551669213,30.00621583842551,7.019581153354666e-05
BP_K10_w04_MX07_gelu06,10,4,0.001,cosine,7,6.0,gelu,0.5347,90085348,fgsm,0.8,2459,0.0,0.1,0.0047459474212547,7.41368088158876e-06,0.0003466918931766,0.996876064729445,-0.2761880783093937,0.1001383941249086,1.2380658087955143,30.221558767483764,7.009907526571171e-05
BP_K10_w04_MX07_gelu08,10,4,0.001,cosine,7,8.0,gelu,0.4831,2846284315,fgsm,0.8,2195,0.0,0.1,0.0040582832607053,1.1239602556473167e-05,0.000790610791017,0.9928777396651596,-0.2514241116401515,0.0948477838854169,0.4773831645034238,30.008245444085613,6.991677647967663e-05
BP_K10_w04_MX07_gelu10,10,4,0.001,cosine,7,10.0,gelu,0.4488,501074123,fgsm,0.8,2034,0.0,0.1,0.0036834938423339,1.0553748606166052e-05,0.0007379818725724,0.9933520323454572,-0.2921819546274203,0.0905888405331366,1.663282250791302,30.272096967309118,6.999535528322879e-05
BP_K10_w04_MX07_gelu12,10,4,0.001,cosine,7,12.0,gelu,0.4208,82868189,fgsm,0.8,1778,0.0,0.1,0.0036067131107939,1.3197631719372994e-05,0.0009782316566567,0.9911824709180308,-0.2853890127699484,0.0927570364764116,1.3173116590273708,30.334554592193413,7.041758563683091e-05
BP_K10_w04_MX07_gelu16,10,4,0.001,cosine,7,16.0,gelu,0.3671,109295018,fgsm,0.8,1238,0.0,0.1,0.0031995298113383,1.5995924879390422e-05,0.0011211696731804,0.9898873192261562,-0.2552846557150869,0.0846101768240612,0.4624925804749921,30.00604690183336,7.007914209835521e-05
BP_K10_w04_MX07_relu01,10,4,0.001,cosine,7,1.0,relu,0.6955,651850840,fgsm,0.8,3435,0.0,0.1,0.0092663469050287,7.628983382275674e-06,0.0001077813686601,0.9990293788157698,-0.2708833659677845,0.1230036729515587,1.3539284242011698,30.002256015987413,4.1730058402173656e-05
BP_K10_w04_MX07_relu02,10,4,0.001,cosine,7,2.0,relu,0.6745,229981754,fgsm,0.8,3141,0.0,0.1,0.0094590107967747,9.17132458263761e-06,0.0001108057293881,0.9990023514088466,-0.2787959172335196,0.1281513073427728,1.3317690609697657,29.99434995977431,3.398078961342285e-05
